数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,142.38	,147.02	,146.58	,146.03	,145.47	,144.96	,147.12	,138.11	,146.10	,
夏收粮食产量 (万吨) 	,	,	,	,10.27	,10.09	,9.58	,9.91	,8.78	,8.99	,9.44	,
秋粮产量 (万吨) 	,	,	,	,68.20	,67.80	,70.03	,65.85	,60.44	,59.14	,63.56	,
谷物产量 (万吨) 	,	,123.80	,128.12	,127.91	,127.11	,126.25	,126.51	,130.70	,123.24	,130.75	,
稻谷产量 (万吨) 	,	,123.80	,128.12	,127.91	,127.11	,126.25	,126.50	,130.70	,123.23	,130.67	,
早稻产量 (万吨) 	,	,	,	,68.11	,68.14	,65.86	,69.20	,77.90	,69.99	,73.10	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
双季晚稻产量 (万吨) 	,	,	,	,59.80	,58.97	,60.38	,57.30	,52.80	,53.25	,57.57	,
小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
冬小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
谷子产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.01	,0.09	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
豆类产量 (万吨) 	,	,0.79	,0.93	,1.07	,1.34	,1.78	,1.65	,1.85	,1.73	,1.94	,
绿豆产量 (万吨) 	,	,	,	,0.06	,0.06	,0.04	,0.03	,0.03	,0.04	,0.03	,
红小豆产量 (万吨) 	,	,	,	,0.07	,0.07	,0.13	,0.11	,0.12	,0.16	,0.16	,
大豆产量 (万吨) 	,	,0.30	,0.36	,0.34	,0.49	,1.04	,0.62	,0.64	,0.67	,0.59	,
薯类产量 (万吨) 	,	,17.80	,17.96	,17.59	,17.58	,17.44	,16.80	,14.57	,13.14	,13.41	,
马铃薯产量 (万吨) 	,	,	,	,	,0.02	,0.34	,0.01	,0.00	,0.04	,0.00	,
棉花产量 (万吨) 	,	,	,	,	,	,	,0.0000	,0.0000	,0.0000	,0.0000	,
油料产量 (万吨) 	,	,8.01	,7.93	,7.49	,7.46	,7.69	,8.69	,8.44	,9.03	,9.59	,
花生产量 (万吨) 	,	,7.94	,7.86	,7.40	,7.36	,7.59	,8.57	,8.31	,8.92	,9.48	,
油菜籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
芝麻产量 (万吨) 	,	,0.07	,0.08	,0.09	,0.11	,0.10	,0.12	,0.13	,0.11	,0.12	,
葵花籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,80.77	,86.52	,76.70	,94.39	,105.80	,114.55	,132.53	,133.10	,171.18	,
麻类产量 (万吨) 	,	,	,0.00	,	,0.00	,	,0.00	,0.00	,0.00	,0.05	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,0.00	,0.00	,0.00	,0.05	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,80.77	,86.52	,76.70	,94.39	,105.83	,114.55	,132.53	,133.10	,171.18	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,0.04	,0.04	,0.04	,0.04	,0.06	,0.02	,0.01	,0.01	,0.01	,
烤烟产量 (万吨) 	,	,0.04	,0.04	,0.04	,0.04	,0.02	,0.02	,0.01	,0.01	,0.01	,
蔬菜产量 (万吨) 	,	,647.18	,632.90	,605.43	,588.92	,572.80	,571.98	,566.77	,553.05	,553.41	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
