数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,2785.34	,2777.04	,2741.15	,2764.33	,2727.43	,2724.98	,2839.47	,2846.13	,2796.35	,
夏收粮食产量 (万吨) 	,	,	,	,482.16	,473.44	,471.96	,457.00	,467.60	,488.24	,497.59	,
秋粮产量 (万吨) 	,	,	,	,2183.30	,2219.50	,2187.17	,2183.74	,2274.32	,2257.02	,2180.89	,
谷物产量 (万吨) 	,	,2624.90	,2618.61	,2591.49	,2611.88	,2581.36	,2579.58	,2704.04	,2716.03	,2677.73	,
稻谷产量 (万吨) 	,	,1889.25	,1880.42	,1865.78	,1883.62	,1864.34	,1877.06	,1965.62	,1927.16	,1874.47	,
早稻产量 (万吨) 	,	,	,	,75.69	,71.38	,68.30	,84.25	,97.55	,100.87	,117.87	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,1692.50	,1719.52	,1687.34	,1678.05	,1733.86	,1688.73	,1609.19	,
双季晚稻产量 (万吨) 	,	,	,	,97.59	,92.72	,108.70	,114.76	,134.21	,137.56	,147.40	,
小麦产量 (万吨) 	,	,410.47	,410.42	,405.57	,399.34	,400.66	,390.68	,410.37	,426.90	,440.74	,
冬小麦产量 (万吨) 	,	,	,	,405.57	,399.34	,400.66	,390.68	,410.37	,426.90	,440.74	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米产量 (万吨) 	,	,315.24	,318.20	,312.32	,323.54	,311.54	,307.22	,323.38	,356.75	,357.41	,
谷子产量 (万吨) 	,	,	,	,0.04	,0.05	,0.04	,0.04	,0.00	,0.04	,0.04	,
高粱产量 (万吨) 	,	,	,	,3.77	,2.26	,1.83	,1.58	,1.50	,1.78	,1.87	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,3.17	,3.41	,3.20	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,2.54	,2.69	,2.48	,
豆类产量 (万吨) 	,	,47.56	,47.38	,40.24	,41.88	,39.73	,38.97	,38.41	,38.48	,35.35	,
绿豆产量 (万吨) 	,	,	,	,1.04	,1.06	,0.95	,0.82	,0.93	,0.61	,0.57	,
红小豆产量 (万吨) 	,	,	,	,0.38	,0.37	,0.38	,0.37	,0.34	,0.09	,0.08	,
大豆产量 (万吨) 	,	,42.92	,42.81	,35.38	,37.21	,35.54	,34.60	,34.21	,34.31	,31.35	,
薯类产量 (万吨) 	,	,112.87	,111.06	,109.42	,110.57	,106.33	,106.43	,97.02	,91.63	,83.27	,
马铃薯产量 (万吨) 	,	,	,	,79.77	,78.64	,76.44	,73.50	,64.51	,64.88	,60.11	,
棉花产量 (万吨) 	,	,9.3074	,9.6045	,10.3339	,10.8878	,10.7918	,14.3612	,14.9314	,18.3635	,19.0000	,
油料产量 (万吨) 	,	,406.41	,394.87	,374.19	,354.14	,344.45	,313.95	,302.48	,307.69	,305.15	,
花生产量 (万吨) 	,	,97.05	,93.09	,85.42	,86.27	,87.10	,85.71	,80.67	,78.37	,77.98	,
油菜籽产量 (万吨) 	,	,292.04	,286.09	,274.19	,251.78	,241.06	,211.35	,205.31	,213.17	,211.14	,
芝麻产量 (万吨) 	,	,14.61	,12.99	,11.79	,13.07	,13.06	,12.92	,11.42	,10.55	,9.51	,
葵花籽产量 (万吨) 	,	,	,	,0.40	,0.45	,0.50	,0.60	,0.68	,0.88	,1.01	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,26.12	,26.46	,26.57	,27.17	,28.20	,27.90	,27.77	,26.99	,26.98	,
麻类产量 (万吨) 	,	,0.75	,0.77	,0.87	,0.86	,0.83	,0.70	,0.53	,0.25	,0.24	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.00	,0.00	,0.00	,0.01	,0.01	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.53	,0.24	,0.22	,
甘蔗产量 (万吨) 	,	,26.12	,26.46	,26.57	,27.17	,28.15	,27.90	,27.70	,26.98	,26.97	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.07	,0.01	,0.00	,
烟叶产量 (万吨) 	,	,7.86	,7.97	,8.10	,6.93	,6.30	,6.31	,6.60	,6.84	,8.15	,
烤烟产量 (万吨) 	,	,6.83	,6.73	,6.46	,5.93	,5.34	,5.23	,5.57	,6.18	,7.31	,
蔬菜产量 (万吨) 	,	,4624.05	,4502.71	,4407.93	,4299.80	,4119.40	,4086.71	,3963.94	,3826.40	,3712.77	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
