数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,3078.10	,3068.01	,3018.02	,3074.36	,3015.12	,2974.84	,3022.90	,3073.60	,3052.30	,
夏收粮食产量 (万吨) 	,	,	,	,45.61	,45.16	,43.13	,41.34	,51.39	,48.56	,44.28	,
秋粮产量 (万吨) 	,	,	,	,2231.11	,2285.40	,2253.26	,2272.10	,2216.01	,2178.54	,2134.52	,
谷物产量 (万吨) 	,	,2930.14	,2919.88	,2880.04	,2932.05	,2876.93	,2846.78	,2891.54	,2955.15	,2937.75	,
稻谷产量 (万吨) 	,	,2675.13	,2665.32	,2639.88	,2683.10	,2638.94	,2611.50	,2674.01	,2740.35	,2724.61	,
早稻产量 (万吨) 	,	,	,	,741.30	,743.80	,718.73	,661.40	,755.50	,846.50	,873.50	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,1104.18	,1122.20	,1110.17	,1206.80	,1086.70	,932.55	,871.35	,
双季晚稻产量 (万吨) 	,	,	,	,794.40	,817.10	,810.04	,743.30	,831.81	,961.30	,979.76	,
小麦产量 (万吨) 	,	,7.46	,7.71	,7.59	,7.78	,7.77	,7.54	,8.01	,9.61	,7.00	,
冬小麦产量 (万吨) 	,	,	,	,7.59	,7.78	,7.77	,7.54	,8.01	,9.61	,7.00	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米产量 (万吨) 	,	,240.55	,239.85	,225.69	,234.11	,223.25	,220.30	,202.82	,199.17	,200.02	,
谷子产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱产量 (万吨) 	,	,	,	,3.90	,3.91	,3.81	,4.19	,3.64	,2.45	,2.34	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,3.06	,3.57	,3.78	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.56	,0.55	,0.52	,
豆类产量 (万吨) 	,	,47.90	,47.48	,43.30	,41.18	,40.03	,37.34	,36.34	,31.98	,30.52	,
绿豆产量 (万吨) 	,	,	,	,2.32	,2.36	,2.34	,2.42	,2.41	,2.17	,2.02	,
红小豆产量 (万吨) 	,	,	,	,0.23	,0.23	,0.23	,0.24	,0.24	,0.20	,0.17	,
大豆产量 (万吨) 	,	,38.48	,37.98	,33.82	,31.83	,31.16	,28.82	,26.51	,23.21	,22.78	,
薯类产量 (万吨) 	,	,100.06	,100.65	,94.68	,101.13	,98.16	,90.72	,95.02	,86.47	,84.03	,
马铃薯产量 (万吨) 	,	,	,	,30.41	,29.82	,28.26	,27.14	,35.40	,31.30	,30.15	,
棉花产量 (万吨) 	,	,8.3764	,7.6025	,8.2305	,8.0489	,7.4468	,8.1837	,8.5690	,10.9503	,12.6208	,
油料产量 (万吨) 	,	,302.15	,293.15	,276.96	,263.00	,260.67	,239.20	,234.45	,226.08	,221.22	,
花生产量 (万吨) 	,	,33.17	,32.22	,31.09	,30.69	,29.90	,29.28	,28.49	,27.59	,26.82	,
油菜籽产量 (万吨) 	,	,266.56	,258.76	,243.82	,230.25	,228.74	,208.01	,204.17	,195.70	,191.30	,
芝麻产量 (万吨) 	,	,1.87	,1.75	,1.65	,1.65	,1.63	,1.57	,1.50	,1.43	,1.50	,
葵花籽产量 (万吨) 	,	,	,	,0.20	,0.21	,0.20	,0.14	,0.17	,0.13	,0.12	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.02	,0.02	,
糖料产量 (万吨) 	,	,35.79	,34.95	,34.86	,34.98	,34.90	,34.17	,33.81	,33.23	,31.28	,
麻类产量 (万吨) 	,	,0.38	,0.37	,0.37	,0.38	,0.46	,0.45	,0.45	,0.42	,0.47	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.03	,0.03	,0.03	,0.02	,0.02	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.42	,0.39	,0.44	,
甘蔗产量 (万吨) 	,	,35.79	,34.95	,34.86	,34.98	,34.92	,34.17	,33.81	,33.23	,31.26	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.02	,
烟叶产量 (万吨) 	,	,20.79	,21.84	,19.66	,18.58	,18.53	,18.57	,19.06	,20.82	,21.50	,
烤烟产量 (万吨) 	,	,20.64	,21.69	,19.48	,18.41	,18.34	,18.36	,18.82	,20.46	,21.06	,
蔬菜产量 (万吨) 	,	,4655.12	,4488.81	,4356.70	,4268.92	,4110.10	,3969.44	,3822.04	,3671.62	,3538.73	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
