数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,1296.11	,1272.90	,1264.99	,1231.46	,1202.21	,1162.58	,1151.43	,1105.90	,1117.48	,
夏收粮食产量 (万吨) 	,	,	,	,342.26	,329.89	,321.28	,327.49	,320.97	,301.92	,303.08	,
秋粮产量 (万吨) 	,	,	,	,922.72	,901.57	,880.93	,835.09	,830.45	,803.98	,814.40	,
谷物产量 (万吨) 	,	,1027.77	,1014.31	,1004.85	,971.08	,942.18	,923.03	,918.52	,889.31	,908.60	,
稻谷产量 (万吨) 	,	,1.34	,1.42	,1.50	,1.81	,1.69	,2.13	,2.47	,2.92	,2.81	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,1.50	,1.81	,1.69	,2.13	,2.47	,2.92	,2.81	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,302.96	,299.17	,296.87	,279.75	,268.88	,281.10	,280.51	,269.72	,272.11	,
冬小麦产量 (万吨) 	,	,	,	,183.43	,181.24	,171.78	,174.44	,171.97	,174.28	,173.27	,
春小麦产量 (万吨) 	,	,	,	,113.45	,98.51	,97.10	,106.66	,108.54	,95.44	,98.84	,
玉米产量 (万吨) 	,	,684.94	,672.59	,664.22	,642.96	,616.83	,594.14	,589.99	,576.67	,591.88	,
谷子产量 (万吨) 	,	,	,	,2.53	,2.80	,3.02	,2.62	,2.46	,1.85	,1.81	,
高粱产量 (万吨) 	,	,	,	,3.18	,2.70	,3.22	,2.84	,3.78	,5.34	,4.69	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,39.32	,32.81	,35.31	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,13.34	,9.14	,9.41	,
豆类产量 (万吨) 	,	,37.60	,36.49	,37.50	,35.76	,37.21	,32.70	,30.58	,25.16	,23.04	,
绿豆产量 (万吨) 	,	,	,	,0.13	,0.24	,0.19	,0.29	,0.12	,0.11	,0.03	,
红小豆产量 (万吨) 	,	,	,	,0.31	,0.47	,0.61	,0.60	,0.50	,0.53	,0.25	,
大豆产量 (万吨) 	,	,12.13	,11.52	,11.12	,7.79	,8.16	,6.83	,7.23	,9.35	,9.76	,
薯类产量 (万吨) 	,	,230.74	,222.10	,222.64	,224.62	,222.82	,206.85	,202.33	,191.43	,185.83	,
马铃薯产量 (万吨) 	,	,	,	,222.64	,224.62	,222.82	,206.85	,202.33	,191.43	,185.83	,
棉花产量 (万吨) 	,	,4.6927	,4.2457	,3.9855	,3.0558	,3.0114	,3.2658	,3.5302	,3.1592	,2.2858	,
油料产量 (万吨) 	,	,67.39	,63.10	,61.32	,58.79	,61.45	,63.18	,70.41	,77.35	,82.12	,
花生产量 (万吨) 	,	,0.05	,0.06	,0.14	,0.16	,0.19	,0.21	,0.22	,0.21	,0.22	,
油菜籽产量 (万吨) 	,	,39.73	,37.65	,36.53	,33.73	,33.93	,35.61	,35.53	,43.78	,41.10	,
芝麻产量 (万吨) 	,	,	,	,0.00	,0.00	,0.00	,	,0.00	,0.00	,0.00	,
葵花籽产量 (万吨) 	,	,	,	,8.39	,9.75	,11.61	,11.29	,17.20	,21.44	,27.73	,
胡麻籽产量 (万吨) 	,	,	,	,13.20	,13.05	,13.66	,14.42	,15.22	,11.68	,11.99	,
糖料产量 (万吨) 	,	,18.45	,16.88	,15.83	,15.88	,22.40	,26.51	,25.20	,26.69	,19.19	,
麻类产量 (万吨) 	,	,0.07	,0.08	,0.08	,0.18	,0.30	,0.28	,0.28	,0.28	,0.27	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.28	,0.28	,0.27	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,18.45	,16.88	,15.83	,15.88	,22.42	,26.51	,25.20	,26.69	,19.19	,
烟叶产量 (万吨) 	,	,0.54	,0.56	,0.51	,0.51	,0.52	,0.52	,0.58	,0.48	,0.60	,
烤烟产量 (万吨) 	,	,0.53	,0.54	,0.49	,0.49	,0.51	,0.51	,0.58	,0.44	,0.57	,
蔬菜产量 (万吨) 	,	,1961.95	,1822.65	,1736.64	,1655.25	,1478.50	,1388.75	,1292.57	,1212.31	,1092.89	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
