数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,514.38	,510.97	,508.70	,506.42	,502.32	,493.90	,498.58	,487.15	,477.28	,
夏收粮食产量 (万吨) 	,	,	,	,24.57	,24.39	,24.25	,23.05	,21.61	,20.61	,20.21	,
秋粮产量 (万吨) 	,	,	,	,422.51	,420.14	,415.91	,409.26	,409.91	,393.79	,373.26	,
谷物产量 (万吨) 	,	,416.10	,412.42	,411.09	,410.20	,408.17	,403.76	,412.67	,406.30	,399.26	,
稻谷产量 (万吨) 	,	,397.68	,394.64	,393.75	,393.18	,391.75	,388.79	,398.31	,393.19	,386.61	,
早稻产量 (万吨) 	,	,	,	,61.62	,61.89	,62.16	,61.59	,67.06	,72.75	,83.80	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,169.05	,172.12	,171.16	,169.38	,171.98	,163.29	,154.29	,
双季晚稻产量 (万吨) 	,	,	,	,163.07	,159.17	,158.42	,157.81	,159.27	,157.15	,148.51	,
小麦产量 (万吨) 	,	,0.02	,0.02	,0.02	,0.02	,0.02	,0.03	,0.05	,0.06	,0.06	,
冬小麦产量 (万吨) 	,	,	,	,0.02	,0.02	,0.02	,0.03	,0.05	,0.06	,0.06	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米产量 (万吨) 	,	,16.99	,16.34	,15.65	,15.34	,14.76	,13.44	,12.56	,11.40	,10.96	,
谷子产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
高粱产量 (万吨) 	,	,	,	,0.01	,0.02	,0.03	,0.04	,0.04	,0.04	,0.04	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,1.72	,1.62	,1.60	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.01	,0.01	,0.01	,
豆类产量 (万吨) 	,	,12.42	,12.47	,12.43	,12.16	,11.99	,11.37	,10.83	,9.95	,9.71	,
绿豆产量 (万吨) 	,	,	,	,0.23	,0.24	,0.24	,0.22	,0.17	,0.13	,0.12	,
红小豆产量 (万吨) 	,	,	,	,0.10	,0.10	,0.10	,0.09	,0.08	,0.06	,0.06	,
大豆产量 (万吨) 	,	,10.23	,10.13	,9.93	,9.62	,9.47	,9.07	,8.62	,7.82	,7.65	,
薯类产量 (万吨) 	,	,85.86	,86.08	,85.18	,84.06	,82.15	,78.77	,75.08	,70.91	,68.30	,
马铃薯产量 (万吨) 	,	,	,	,21.24	,21.34	,21.49	,20.88	,19.69	,18.83	,18.45	,
棉花产量 (万吨) 	,	,	,	,0.0040	,0.0041	,0.0041	,0.0044	,0.0072	,0.0001	,0.0081	,
油料产量 (万吨) 	,	,24.89	,24.38	,23.61	,23.31	,22.73	,22.03	,21.24	,19.55	,19.41	,
花生产量 (万吨) 	,	,23.39	,22.99	,22.43	,22.21	,21.68	,21.04	,20.32	,18.73	,18.60	,
油菜籽产量 (万吨) 	,	,1.46	,1.32	,1.10	,1.02	,0.96	,0.92	,0.86	,0.76	,0.74	,
芝麻产量 (万吨) 	,	,0.04	,0.04	,0.04	,0.04	,0.04	,0.03	,0.03	,0.04	,0.04	,
葵花籽产量 (万吨) 	,	,	,	,0.01	,0.01	,0.02	,0.02	,0.03	,0.03	,0.03	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,28.50	,28.50	,28.84	,28.79	,27.00	,26.25	,26.13	,26.37	,28.83	,
麻类产量 (万吨) 	,	,	,	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.00	,0.00	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,28.50	,28.50	,28.84	,28.79	,26.98	,26.25	,26.13	,26.37	,28.83	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,13.86	,13.47	,12.12	,10.54	,10.05	,10.56	,10.71	,11.64	,11.85	,
烤烟产量 (万吨) 	,	,13.82	,13.43	,12.09	,10.52	,10.03	,10.52	,10.68	,11.62	,11.80	,
蔬菜产量 (万吨) 	,	,1868.88	,1804.78	,1752.90	,1686.50	,1630.20	,1570.69	,1493.00	,1415.31	,1374.97	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
