数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,112.95	,108.87	,107.34	,106.15	,102.87	,103.92	,104.40	,106.53	,103.87	,
夏收粮食产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋粮产量 (万吨) 	,	,	,	,107.34	,106.15	,102.87	,103.92	,104.40	,106.53	,103.87	,
谷物产量 (万吨) 	,	,111.46	,107.37	,105.66	,103.88	,100.74	,101.94	,101.53	,102.01	,101.31	,
稻谷产量 (万吨) 	,	,0.48	,0.50	,0.48	,0.45	,0.53	,0.43	,0.53	,0.50	,0.60	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,0.48	,0.45	,0.53	,0.43	,0.53	,0.50	,0.60	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,18.76	,19.17	,18.85	,20.12	,17.65	,19.19	,19.46	,21.94	,26.88	,
冬小麦产量 (万吨) 	,	,	,	,12.30	,13.04	,12.25	,12.88	,14.39	,15.58	,21.28	,
春小麦产量 (万吨) 	,	,	,	,6.55	,7.08	,5.39	,6.31	,5.07	,6.36	,5.60	,
玉米产量 (万吨) 	,	,3.08	,3.06	,2.83	,2.96	,2.75	,2.59	,3.36	,3.00	,2.86	,
谷子产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,78.18	,76.57	,70.97	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.03	,0.22	,0.04	,
豆类产量 (万吨) 	,	,1.18	,1.07	,1.32	,1.85	,1.86	,1.79	,2.24	,3.98	,1.99	,
绿豆产量 (万吨) 	,	,	,	,	,0.06	,	,	,	,0.00	,0.00	,
红小豆产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
大豆产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.03	,0.00	,0.01	,0.03	,2.00	,0.76	,
薯类产量 (万吨) 	,	,0.31	,0.43	,0.37	,0.42	,0.27	,0.19	,0.63	,0.54	,0.57	,
马铃薯产量 (万吨) 	,	,	,	,0.37	,0.42	,0.27	,0.19	,0.63	,0.54	,0.57	,
棉花产量 (万吨) 	,	,	,	,	,	,	,0.0000	,0.0000	,0.0000	,0.0000	,
油料产量 (万吨) 	,	,5.09	,5.01	,4.68	,4.58	,5.08	,5.71	,5.85	,5.94	,6.21	,
花生产量 (万吨) 	,	,0.01	,0.01	,0.01	,0.02	,0.02	,0.02	,0.03	,0.02	,0.04	,
油菜籽产量 (万吨) 	,	,5.08	,5.00	,4.67	,4.56	,5.07	,5.69	,5.82	,5.92	,6.17	,
芝麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
葵花籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,0.00	,0.00	,0.00	,	,	,0.00	,0.00	,0.00	,0.00	,
麻类产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,0.00	,0.00	,0.00	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,
烤烟产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.00	,0.00	,	,0.00	,0.00	,0.00	,
蔬菜产量 (万吨) 	,	,96.50	,88.39	,81.58	,89.47	,84.30	,77.49	,72.57	,72.73	,70.69	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
