数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,1146.11	,1119.68	,1114.64	,1094.86	,1057.63	,1051.24	,1059.70	,1242.45	,1264.25	,
夏收粮食产量 (万吨) 	,	,	,	,257.61	,255.91	,251.67	,233.88	,215.73	,222.21	,215.07	,
秋粮产量 (万吨) 	,	,	,	,857.03	,838.95	,805.96	,817.36	,843.97	,1020.23	,1049.18	,
谷物产量 (万吨) 	,	,829.19	,791.26	,775.55	,756.58	,704.52	,718.93	,739.23	,950.60	,974.69	,
稻谷产量 (万吨) 	,	,379.47	,366.08	,395.00	,417.35	,415.98	,423.83	,420.73	,448.83	,456.01	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,395.00	,417.35	,415.98	,423.83	,420.73	,448.83	,456.01	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,25.98	,27.65	,28.86	,33.25	,33.37	,32.98	,33.18	,41.20	,41.82	,
冬小麦产量 (万吨) 	,	,	,	,28.86	,33.25	,33.37	,32.98	,33.18	,41.20	,41.82	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米产量 (万吨) 	,	,372.63	,343.42	,299.79	,256.57	,220.34	,232.30	,258.96	,441.18	,456.40	,
谷子产量 (万吨) 	,	,	,	,0.55	,0.79	,0.95	,0.82	,0.88	,0.81	,0.87	,
高粱产量 (万吨) 	,	,	,	,37.46	,34.30	,25.52	,21.71	,17.50	,12.51	,12.79	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,7.98	,6.07	,6.78	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.45	,0.38	,0.47	,
豆类产量 (万吨) 	,	,43.64	,45.59	,45.14	,35.12	,33.71	,29.44	,29.29	,25.56	,33.06	,
绿豆产量 (万吨) 	,	,	,	,0.26	,0.35	,0.38	,0.33	,0.35	,0.37	,0.38	,
红小豆产量 (万吨) 	,	,	,	,0.41	,0.33	,0.33	,0.34	,0.31	,0.32	,0.33	,
大豆产量 (万吨) 	,	,27.23	,27.20	,27.20	,23.14	,22.35	,18.46	,19.72	,19.27	,26.71	,
薯类产量 (万吨) 	,	,273.27	,282.83	,293.95	,303.16	,319.40	,302.87	,291.18	,266.28	,256.51	,
马铃薯产量 (万吨) 	,	,	,	,244.06	,244.18	,269.78	,254.94	,241.36	,231.73	,221.56	,
棉花产量 (万吨) 	,	,0.0312	,0.0324	,0.0368	,0.0369	,0.0372	,0.0409	,0.0646	,0.1115	,0.2000	,
油料产量 (万吨) 	,	,116.25	,110.97	,105.57	,94.88	,103.40	,103.01	,112.62	,115.52	,115.28	,
花生产量 (万吨) 	,	,10.66	,10.40	,9.77	,11.90	,11.74	,11.62	,11.46	,11.27	,10.85	,
油菜籽产量 (万吨) 	,	,104.10	,99.40	,94.73	,80.87	,76.17	,77.25	,86.22	,88.02	,88.55	,
芝麻产量 (万吨) 	,	,0.01	,0.04	,0.04	,0.06	,0.07	,0.06	,0.05	,0.06	,0.06	,
葵花籽产量 (万吨) 	,	,	,	,0.92	,1.49	,1.69	,1.84	,1.82	,2.63	,2.26	,
胡麻籽产量 (万吨) 	,	,	,	,0.00	,0.00	,0.00	,0.00	,0.00	,0.01	,0.01	,
糖料产量 (万吨) 	,	,30.84	,34.66	,41.32	,53.66	,61.50	,62.82	,62.52	,50.31	,71.62	,
麻类产量 (万吨) 	,	,0.00	,0.01	,0.01	,0.02	,0.09	,0.08	,0.04	,0.12	,0.12	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.06	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.02	,0.05	,0.05	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.02	,0.02	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.02	,0.04	,0.05	,
甘蔗产量 (万吨) 	,	,30.84	,34.66	,41.32	,53.65	,61.26	,62.80	,62.48	,50.31	,71.48	,
甜菜产量 (万吨) 	,	,	,	,0.00	,0.01	,0.28	,0.02	,0.00	,0.00	,0.14	,
烟叶产量 (万吨) 	,	,23.74	,23.82	,22.63	,23.25	,22.52	,23.53	,25.13	,26.80	,29.74	,
烤烟产量 (万吨) 	,	,21.95	,22.99	,21.63	,21.99	,21.14	,21.58	,22.77	,24.45	,27.46	,
蔬菜产量 (万吨) 	,	,3616.04	,3469.97	,3355.73	,3280.09	,2990.90	,2734.84	,2613.40	,2272.16	,2033.56	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
