数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,2500.33	,2563.40	,2484.54	,2538.74	,2338.83	,2429.95	,2192.45	,2330.74	,2315.60	,
夏收粮食产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋粮产量 (万吨) 	,	,	,	,2484.54	,2538.74	,2338.83	,2429.95	,2192.45	,2330.74	,2315.60	,
谷物产量 (万吨) 	,	,2443.22	,2510.46	,2431.96	,2485.32	,2283.49	,2375.71	,2131.64	,2261.28	,2259.98	,
稻谷产量 (万吨) 	,	,398.41	,412.94	,425.56	,424.62	,446.53	,434.82	,418.02	,422.05	,410.39	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,425.56	,424.62	,446.53	,434.82	,418.02	,422.05	,410.39	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦产量 (万吨) 	,	,0.69	,0.79	,0.82	,1.09	,1.66	,1.38	,1.37	,1.26	,1.10	,
冬小麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
春小麦产量 (万吨) 	,	,	,	,0.82	,1.09	,1.66	,1.38	,1.37	,1.26	,1.10	,
玉米产量 (万吨) 	,	,2002.06	,2057.42	,1959.16	,2008.41	,1793.85	,1884.43	,1662.79	,1789.44	,1810.07	,
谷子产量 (万吨) 	,	,	,	,21.24	,24.91	,18.66	,24.03	,18.62	,19.86	,13.52	,
高粱产量 (万吨) 	,	,	,	,23.53	,24.41	,20.56	,26.17	,28.24	,24.60	,21.48	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,2.59	,4.08	,3.42	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类产量 (万吨) 	,	,29.99	,29.00	,27.91	,26.91	,25.61	,22.84	,20.00	,21.05	,16.21	,
绿豆产量 (万吨) 	,	,	,	,0.37	,0.92	,0.85	,0.88	,1.05	,0.63	,0.71	,
红小豆产量 (万吨) 	,	,	,	,0.17	,0.40	,0.35	,0.53	,0.75	,0.93	,0.56	,
大豆产量 (万吨) 	,	,29.23	,28.05	,26.98	,25.07	,23.90	,21.27	,17.99	,19.31	,14.81	,
薯类产量 (万吨) 	,	,27.13	,23.94	,24.67	,26.51	,29.73	,31.40	,40.81	,48.41	,39.42	,
马铃薯产量 (万吨) 	,	,	,	,16.36	,18.32	,20.69	,21.36	,29.97	,39.47	,32.39	,
棉花产量 (万吨) 	,	,	,	,0.0003	,	,0.0004	,0.0022	,0.0022	,0.0000	,0.0101	,
油料产量 (万吨) 	,	,132.52	,128.14	,113.38	,116.18	,99.66	,97.67	,78.13	,81.46	,79.40	,
花生产量 (万吨) 	,	,131.61	,127.20	,112.55	,115.49	,98.74	,96.44	,76.82	,80.02	,75.93	,
油菜籽产量 (万吨) 	,	,0.04	,0.03	,0.09	,0.11	,0.12	,0.14	,0.14	,0.13	,0.13	,
芝麻产量 (万吨) 	,	,0.02	,0.00	,0.01	,0.01	,0.01	,0.02	,0.08	,0.06	,0.01	,
葵花籽产量 (万吨) 	,	,	,	,0.69	,0.56	,0.78	,1.03	,1.02	,0.94	,1.04	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,1.00	,0.90	,1.32	,1.26	,9.10	,14.58	,11.81	,10.70	,9.35	,
麻类产量 (万吨) 	,	,	,	,	,	,	,0.00	,0.01	,0.04	,0.81	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,1.00	,0.90	,1.32	,1.26	,9.15	,14.58	,11.81	,10.70	,9.35	,
烟叶产量 (万吨) 	,	,1.03	,1.17	,1.10	,1.14	,1.56	,1.35	,1.77	,2.63	,3.05	,
烤烟产量 (万吨) 	,	,0.72	,0.81	,0.90	,0.93	,1.33	,1.24	,1.49	,2.49	,2.90	,
蔬菜产量 (万吨) 	,	,2219.95	,2139.68	,2055.38	,1990.23	,1960.00	,1885.39	,1852.33	,1797.84	,1849.88	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
