数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,1100.73	,1095.90	,1072.84	,1092.84	,1081.42	,1075.15	,1079.34	,1079.88	,1078.20	,
夏收粮食产量 (万吨) 	,	,	,	,122.40	,121.06	,119.64	,120.15	,122.10	,122.88	,123.03	,
秋粮产量 (万吨) 	,	,	,	,950.44	,971.78	,961.78	,955.00	,957.24	,957.00	,955.17	,
谷物产量 (万吨) 	,	,768.15	,765.79	,756.39	,761.38	,753.73	,750.57	,753.59	,756.40	,758.46	,
稻谷产量 (万吨) 	,	,492.07	,492.00	,485.24	,493.05	,489.19	,487.00	,486.92	,486.99	,487.58	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,485.24	,493.05	,489.19	,487.00	,486.92	,486.99	,487.58	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦产量 (万吨) 	,	,6.12	,6.24	,6.28	,6.15	,6.09	,6.91	,8.15	,9.78	,11.28	,
冬小麦产量 (万吨) 	,	,	,	,6.28	,6.15	,6.09	,6.91	,8.15	,9.78	,11.28	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米产量 (万吨) 	,	,261.00	,258.58	,256.37	,254.56	,251.13	,249.54	,251.33	,252.62	,252.78	,
谷子产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
高粱产量 (万吨) 	,	,	,	,7.38	,6.73	,6.43	,6.21	,6.29	,6.12	,5.92	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,0.90	,0.88	,0.91	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.10	,0.12	,0.15	,
豆类产量 (万吨) 	,	,47.15	,46.44	,43.45	,42.15	,41.48	,40.95	,40.86	,40.22	,39.54	,
绿豆产量 (万吨) 	,	,	,	,2.31	,2.36	,2.33	,2.29	,2.24	,2.20	,2.15	,
红小豆产量 (万吨) 	,	,	,	,0.33	,0.31	,0.31	,0.31	,0.30	,0.29	,0.28	,
大豆产量 (万吨) 	,	,24.75	,24.42	,21.59	,20.56	,20.22	,19.97	,19.87	,19.50	,19.09	,
薯类产量 (万吨) 	,	,285.43	,283.67	,273.00	,289.31	,286.21	,283.64	,284.89	,283.26	,280.19	,
马铃薯产量 (万吨) 	,	,	,	,126.60	,119.80	,118.31	,117.84	,118.55	,117.58	,116.31	,
棉花产量 (万吨) 	,	,	,	,	,	,	,0.0000	,0.0000	,0.0000	,0.0000	,
油料产量 (万吨) 	,	,79.80	,77.46	,70.85	,68.48	,67.07	,65.19	,63.70	,62.40	,60.85	,
花生产量 (万吨) 	,	,15.31	,15.11	,14.42	,14.28	,14.09	,13.68	,13.58	,13.42	,13.03	,
油菜籽产量 (万吨) 	,	,62.83	,60.68	,54.73	,52.46	,51.37	,49.89	,48.60	,47.43	,46.24	,
芝麻产量 (万吨) 	,	,0.49	,0.48	,0.47	,0.50	,0.46	,0.48	,0.44	,0.99	,0.99	,
葵花籽产量 (万吨) 	,	,	,	,0.34	,0.37	,0.35	,0.35	,0.34	,0.39	,0.38	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,8.52	,8.39	,8.32	,8.28	,8.20	,8.05	,9.09	,8.79	,8.91	,
麻类产量 (万吨) 	,	,0.28	,0.29	,0.30	,0.32	,0.37	,0.38	,0.64	,0.70	,0.74	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.01	,0.01	,0.01	,0.01	,0.01	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.64	,0.69	,0.74	,
甘蔗产量 (万吨) 	,	,8.52	,8.39	,8.32	,8.28	,8.17	,8.05	,9.09	,8.79	,8.91	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,5.71	,5.69	,5.52	,5.32	,5.27	,5.85	,6.24	,6.91	,8.39	,
烤烟产量 (万吨) 	,	,4.77	,4.73	,4.48	,4.15	,4.01	,4.66	,5.20	,5.89	,7.27	,
蔬菜产量 (万吨) 	,	,2436.32	,2362.01	,2272.36	,2184.33	,2092.60	,2008.76	,1932.73	,1862.63	,1795.49	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
