数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,1352.29	,1323.66	,1297.89	,1270.43	,1274.83	,1231.13	,1226.00	,1194.20	,1263.96	,
夏收粮食产量 (万吨) 	,	,	,	,475.90	,470.60	,453.49	,420.31	,438.31	,442.13	,437.29	,
秋粮产量 (万吨) 	,	,	,	,821.99	,799.83	,821.34	,810.82	,787.69	,752.07	,826.67	,
谷物产量 (万吨) 	,	,1204.53	,1166.52	,1156.37	,1132.57	,1150.04	,1108.10	,1103.09	,1074.32	,1155.18	,
稻谷产量 (万吨) 	,	,73.91	,73.48	,73.33	,72.85	,80.52	,80.37	,80.69	,80.57	,80.47	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,73.33	,72.85	,80.52	,80.37	,80.69	,80.57	,80.47	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,425.05	,416.63	,429.78	,424.60	,413.25	,382.04	,401.34	,406.41	,403.18	,
冬小麦产量 (万吨) 	,	,	,	,429.78	,424.60	,413.25	,382.04	,401.34	,406.41	,403.18	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米产量 (万吨) 	,	,662.23	,637.81	,616.81	,601.69	,620.16	,609.58	,584.15	,551.15	,636.21	,
谷子产量 (万吨) 	,	,	,	,16.02	,13.27	,11.44	,11.28	,11.84	,11.40	,11.24	,
高粱产量 (万吨) 	,	,	,	,6.70	,6.15	,6.02	,6.03	,5.88	,5.51	,5.45	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,19.19	,19.29	,18.63	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,1.44	,1.58	,1.58	,
豆类产量 (万吨) 	,	,38.28	,38.78	,37.11	,31.95	,28.28	,28.05	,28.62	,28.63	,29.17	,
绿豆产量 (万吨) 	,	,	,	,1.25	,1.38	,0.90	,0.90	,0.92	,0.92	,0.92	,
红小豆产量 (万吨) 	,	,	,	,2.21	,2.22	,1.66	,1.66	,1.69	,1.70	,1.66	,
大豆产量 (万吨) 	,	,31.73	,31.72	,30.54	,25.10	,23.64	,23.39	,23.92	,23.91	,24.31	,
薯类产量 (万吨) 	,	,109.48	,118.36	,104.41	,105.91	,96.51	,94.97	,94.29	,91.26	,79.61	,
马铃薯产量 (万吨) 	,	,	,	,88.66	,90.13	,83.93	,82.87	,82.33	,79.57	,73.73	,
棉花产量 (万吨) 	,	,0.0055	,0.0160	,0.0217	,0.0339	,0.0746	,0.7633	,0.9904	,1.1594	,1.6910	,
油料产量 (万吨) 	,	,62.85	,60.63	,56.34	,58.33	,59.11	,60.10	,60.96	,59.75	,57.28	,
花生产量 (万吨) 	,	,11.82	,11.54	,11.69	,11.29	,12.39	,12.30	,12.60	,12.46	,12.29	,
油菜籽产量 (万吨) 	,	,41.59	,40.07	,35.92	,38.97	,37.51	,37.26	,36.91	,38.24	,37.49	,
芝麻产量 (万吨) 	,	,1.26	,1.15	,1.09	,1.07	,1.07	,1.22	,1.09	,1.52	,1.44	,
葵花籽产量 (万吨) 	,	,	,	,4.24	,4.24	,4.94	,4.99	,4.73	,6.60	,5.06	,
胡麻籽产量 (万吨) 	,	,	,	,0.41	,0.35	,0.46	,0.54	,0.41	,0.93	,0.63	,
糖料产量 (万吨) 	,	,0.21	,0.27	,0.27	,0.29	,0.80	,0.13	,0.13	,2.72	,2.57	,
麻类产量 (万吨) 	,	,0.03	,0.03	,0.03	,0.06	,0.06	,0.16	,0.06	,0.05	,0.05	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.00	,0.00	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.02	,0.02	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.04	,0.03	,0.03	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.02	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,0.17	,0.23	,0.22	,0.23	,0.72	,0.10	,0.10	,2.68	,2.54	,
甜菜产量 (万吨) 	,	,0.04	,0.04	,0.05	,0.06	,0.03	,0.03	,0.03	,0.04	,0.03	,
烟叶产量 (万吨) 	,	,5.96	,5.87	,5.44	,5.14	,5.29	,5.37	,3.96	,3.87	,4.62	,
烤烟产量 (万吨) 	,	,5.90	,5.80	,5.37	,5.09	,5.26	,5.28	,3.36	,3.82	,4.52	,
蔬菜产量 (万吨) 	,	,2242.81	,2151.20	,2082.15	,2012.82	,1957.70	,1897.38	,1808.44	,1733.99	,1666.93	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
