数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,118.25	,116.23	,107.27	,109.09	,107.42	,105.54	,103.06	,102.55	,104.78	,
夏收粮食产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋粮产量 (万吨) 	,	,	,	,107.27	,109.09	,107.42	,105.54	,103.06	,102.55	,104.78	,
谷物产量 (万吨) 	,	,81.84	,82.74	,76.20	,75.39	,72.06	,69.20	,63.95	,64.93	,67.85	,
稻谷产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦产量 (万吨) 	,	,38.01	,39.66	,36.91	,38.73	,37.57	,40.29	,42.64	,33.06	,35.04	,
冬小麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
春小麦产量 (万吨) 	,	,	,	,36.91	,38.73	,37.57	,40.29	,42.64	,33.06	,35.04	,
玉米产量 (万吨) 	,	,15.96	,15.24	,14.83	,15.26	,14.79	,14.18	,11.53	,12.24	,13.63	,
谷子产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
高粱产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,9.78	,19.62	,19.19	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,10.08	,10.71	,
豆类产量 (万吨) 	,	,5.07	,3.67	,3.48	,3.52	,3.54	,3.31	,2.89	,2.80	,2.61	,
绿豆产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
红小豆产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大豆产量 (万吨) 	,	,0.19	,	,	,	,	,	,0.00	,0.00	,0.00	,
薯类产量 (万吨) 	,	,31.34	,29.82	,27.59	,30.18	,31.82	,33.03	,36.22	,34.81	,34.32	,
马铃薯产量 (万吨) 	,	,	,	,27.59	,30.18	,31.82	,33.03	,36.22	,34.81	,34.32	,
棉花产量 (万吨) 	,	,	,	,	,	,	,0.0000	,0.0000	,0.0000	,0.0000	,
油料产量 (万吨) 	,	,33.57	,32.05	,30.89	,31.88	,30.21	,28.88	,28.47	,30.28	,31.34	,
花生产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
油菜籽产量 (万吨) 	,	,33.44	,31.92	,30.76	,31.73	,30.06	,28.66	,28.13	,29.02	,31.06	,
芝麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
葵花籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
胡麻籽产量 (万吨) 	,	,	,	,0.12	,0.15	,0.15	,0.22	,0.34	,0.26	,0.28	,
糖料产量 (万吨) 	,	,	,	,	,	,	,0.04	,0.04	,0.03	,0.06	,
麻类产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,0.04	,0.04	,0.03	,0.06	,
烟叶产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.00	,0.00	,	,0.00	,0.00	,0.00	,
烤烟产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
蔬菜产量 (万吨) 	,	,165.06	,158.49	,151.81	,150.14	,151.40	,151.86	,150.26	,148.08	,148.14	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
