数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,8001.72	,7788.22	,7763.14	,7867.72	,7540.78	,7503.01	,7506.80	,7410.34	,7416.13	,
夏收粮食产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋粮产量 (万吨) 	,	,	,	,7763.14	,7867.72	,7540.78	,7503.01	,7506.80	,7410.34	,7416.13	,
谷物产量 (万吨) 	,	,7075.57	,6837.09	,6773.49	,7104.39	,6576.90	,6652.98	,6747.61	,6609.71	,6754.79	,
稻谷产量 (万吨) 	,	,2471.61	,2439.96	,2718.00	,2913.73	,2896.15	,2663.46	,2685.54	,2819.33	,2763.62	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,2718.00	,2913.73	,2896.15	,2663.46	,2685.54	,2819.33	,2763.62	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,9.87	,7.46	,8.44	,26.27	,18.71	,20.39	,36.18	,38.09	,28.60	,
冬小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
春小麦产量 (万吨) 	,	,	,	,8.44	,26.27	,18.71	,20.39	,36.18	,38.09	,28.60	,
玉米产量 (万吨) 	,	,4584.94	,4378.96	,4038.42	,4149.23	,3646.61	,3939.82	,3982.16	,3703.11	,3912.81	,
谷子产量 (万吨) 	,	,	,	,0.52	,2.58	,2.71	,3.92	,7.53	,7.32	,9.61	,
高粱产量 (万吨) 	,	,	,	,7.65	,11.70	,11.49	,23.84	,28.86	,33.93	,27.60	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,7.34	,7.92	,12.56	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.19	,0.24	,0.00	,
豆类产量 (万吨) 	,	,911.98	,936.41	,966.39	,731.68	,931.97	,796.98	,678.50	,719.62	,586.26	,
绿豆产量 (万吨) 	,	,	,	,0.41	,0.55	,1.04	,2.25	,4.00	,5.25	,3.47	,
红小豆产量 (万吨) 	,	,	,	,10.92	,9.63	,7.11	,9.49	,11.90	,19.35	,14.23	,
大豆产量 (万吨) 	,	,905.02	,927.82	,953.37	,718.80	,920.29	,780.78	,657.77	,689.43	,562.81	,
薯类产量 (万吨) 	,	,14.17	,14.72	,23.26	,31.65	,31.91	,53.05	,80.69	,81.02	,75.08	,
马铃薯产量 (万吨) 	,	,	,	,23.00	,31.25	,31.78	,52.63	,79.31	,80.04	,73.63	,
棉花产量 (万吨) 	,	,	,	,	,	,	,0.0000	,0.0000	,0.0000	,0.0000	,
油料产量 (万吨) 	,	,19.56	,16.52	,14.31	,13.58	,12.34	,11.54	,11.22	,14.26	,20.75	,
花生产量 (万吨) 	,	,16.53	,13.39	,11.74	,10.48	,8.73	,6.69	,5.14	,4.97	,4.69	,
油菜籽产量 (万吨) 	,	,0.00	,0.02	,0.02	,0.03	,0.03	,0.25	,0.25	,0.07	,0.05	,
芝麻产量 (万吨) 	,	,0.01	,0.05	,0.02	,0.00	,0.01	,0.09	,0.08	,0.01	,0.08	,
葵花籽产量 (万吨) 	,	,	,	,0.16	,0.35	,0.75	,0.54	,1.46	,1.96	,3.07	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,0.05	,0.01	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,37.19	,24.58	,18.18	,16.03	,14.10	,41.64	,52.95	,37.37	,11.39	,
麻类产量 (万吨) 	,	,14.46	,6.73	,12.29	,11.03	,11.64	,12.35	,10.47	,11.79	,6.83	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.42	,0.58	,0.39	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,10.06	,11.18	,6.44	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,37.19	,24.58	,18.18	,16.03	,14.07	,41.64	,52.95	,37.37	,11.39	,
烟叶产量 (万吨) 	,	,2.70	,2.70	,2.60	,2.66	,2.87	,2.59	,3.37	,4.65	,5.25	,
烤烟产量 (万吨) 	,	,2.51	,2.54	,2.45	,2.48	,2.71	,2.51	,3.31	,4.58	,4.93	,
蔬菜产量 (万吨) 	,	,894.93	,870.47	,759.84	,725.43	,674.30	,655.40	,634.40	,798.59	,687.27	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
